2007-07-18 18:13:48,156  WARN (ParseSrcVisitor.java:115) - Parent object is found as null for java.awt.geom.PathIterator
2007-07-18 18:14:01,921 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:01,921 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:01,921 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:01,921 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:01,937 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:01,937 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:01,937 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:01,937 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:01,937 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:01,937 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:01,937 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:01,937 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:01,937 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:01,953 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:01,953 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:01,953 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:01,953 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:01,968 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:01,968 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:01,968 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:01,984 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:01,984 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:01,984 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:01,984 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,000 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,000 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,000 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,000 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,000 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,000 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,015 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,031 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,031 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,031 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,031 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,031 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,031 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,031 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,046 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,046 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,046 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,046 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,046 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,046 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,046 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,046 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,046 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,046 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,078 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,078 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,078 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,093 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,093 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,093 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,125 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,125 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,125 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,125 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,171  INFO (GCodeAnalyzer.java:98) - Analyzing 36_JTelosUtil.java
2007-07-18 18:14:02,296 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{cmdDot,"-q -Tdot",fPath,"-o",tmpDot}
2007-07-18 18:14:02,328  INFO (GCodeAnalyzer.java:98) - Analyzing 37_ClassGraph.java
2007-07-18 18:14:02,343  INFO (GCodeAnalyzer.java:98) - Analyzing 38_SimpleGraph.java
2007-07-18 18:14:02,359  INFO (GCodeAnalyzer.java:98) - Analyzing 39_FileGraph.java
2007-07-18 18:14:02,375  INFO (GCodeAnalyzer.java:98) - Analyzing 3_Element.java
2007-07-18 18:14:02,437  INFO (GCodeAnalyzer.java:98) - Analyzing 40_ModelManager.java
2007-07-18 18:14:02,593 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{urlA}
2007-07-18 18:14:02,593 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{OMEModel.class}
2007-07-18 18:14:02,593 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{model}
2007-07-18 18:14:02,593 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{model}
2007-07-18 18:14:02,593 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{OMEModel.class}
2007-07-18 18:14:02,593 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{model}
2007-07-18 18:14:02,593 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{model}
2007-07-18 18:14:02,609 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,609 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,609 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,609 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,625 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,625 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,625 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,625 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,625 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,625 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,640 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,640 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,640 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,640 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,656 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,656 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,656 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,656 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,656 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,656 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,656 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,671 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,687 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,687 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,687 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,687 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,687 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,687 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,687 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,687 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,687 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,703 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,703 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,703 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,703 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,703 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,703 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,703 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,703 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,718 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,718 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,718 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,718 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,718 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,734 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,750 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,750 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,750 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,750 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,750 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,750 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,765 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,765 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,765 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,765 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,765 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,765 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,765 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,765 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,765 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,781 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,781 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,781 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,781 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,781 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,781 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,796 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,796 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,796 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,796 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,796 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,796 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,796 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,812 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,812 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,812 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,812 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,812 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,812 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,812 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,812 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,828 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,828 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,843 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,843 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,843 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,875 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,875 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,875 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,875 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,875 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,875 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,875 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,875 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,875 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,890 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,890 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,890 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,890 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,906 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,906 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:02,906 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:02,906 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:02,906 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:02,906 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:02,906 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:02,906 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:02,906 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:02,921 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:02,937  INFO (GCodeAnalyzer.java:98) - Analyzing 41_ModelManager.java
2007-07-18 18:14:03,078 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{urlA}
2007-07-18 18:14:03,078 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{OMEModel.class}
2007-07-18 18:14:03,078 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{model}
2007-07-18 18:14:03,078 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{model}
2007-07-18 18:14:03,093 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{OMEModel.class}
2007-07-18 18:14:03,093 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{model}
2007-07-18 18:14:03,093 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{model}
2007-07-18 18:14:03,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:03,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:03,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:03,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:03,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:03,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
2007-07-18 18:14:03,109 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"parent"}
2007-07-18 18:14:03,125 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:03,125 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"from"}
2007-07-18 18:14:03,125 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"to"}
2007-07-18 18:14:03,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"name"}
2007-07-18 18:14:03,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"label"}
2007-07-18 18:14:03,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"feature"}
2007-07-18 18:14:03,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"control"}
2007-07-18 18:14:03,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"sat"}
2007-07-18 18:14:03,140 ERROR (ASTCrawlerUtil.java:330) - Unhandled case in finding the reference type...{"den"}
